asset_id,department,asset_type,corridor_id,asset_age_years,base_criticality
EN-0001,Engineering,Sleeper,C12,4,High
EN-0002,Engineering,Track,C02,3,Critical
EN-0003,Engineering,Track,C20,2,Medium
EN-0004,Engineering,Ballast,C09,2,Medium
EN-0005,Engineering,Sleeper,C10,1,Medium
EN-0006,Engineering,Sleeper,C16,3,Medium
EN-0007,Engineering,Ballast,C15,5,Medium
EN-0008,Engineering,Sleeper,C10,4,Medium
EN-0009,Engineering,Track,C03,3,Medium
EN-0010,Engineering,Sleeper,C11,5,Medium
EN-0011,Engineering,Rail,C12,5,Medium
EN-0012,Engineering,Sleeper,C20,1,High
EN-0013,Engineering,Track,C03,3,High
EN-0014,Engineering,Rail,C01,4,Medium
EN-0015,Engineering,Track,C15,2,High
EN-0016,Engineering,Track,C12,5,High
EN-0017,Engineering,Sleeper,C09,1,Medium
EN-0018,Engineering,Rail,C07,3,Medium
EN-0019,Engineering,Track,C04,2,Medium
EN-0020,Engineering,Track,C19,4,Medium
EN-0021,Engineering,Ballast,C08,5,High
EN-0022,Engineering,Rail,C05,2,High
EN-0023,Engineering,Sleeper,C13,4,Low
EN-0024,Engineering,Track,C20,3,Medium
EN-0025,Engineering,Ballast,C15,3,High
EN-0026,Engineering,Rail,C19,3,Medium
EN-0027,Engineering,Rail,C05,5,Low
EN-0028,Engineering,Rail,C09,5,Low
EN-0029,Engineering,Ballast,C12,5,High
EN-0030,Engineering,Sleeper,C06,3,Medium
EN-0031,Engineering,Sleeper,C04,3,High
EN-0032,Engineering,Sleeper,C13,4,High
EN-0033,Engineering,Rail,C09,3,High
EN-0034,Engineering,Sleeper,C03,5,High
EN-0035,Engineering,Track,C02,1,Medium
EN-0036,Engineering,Track,C16,1,High
EN-0037,Engineering,Track,C03,2,High
EN-0038,Engineering,Sleeper,C14,1,Critical
EN-0039,Engineering,Sleeper,C19,5,Medium
EN-0040,Engineering,Track,C01,1,Medium
EN-0041,Engineering,Rail,C05,4,Critical
EN-0042,Engineering,Rail,C09,5,Low
EN-0043,Engineering,Track,C03,3,Low
EN-0044,Engineering,Rail,C04,3,High
EN-0045,Engineering,Track,C18,5,Medium
EN-0046,Engineering,Track,C14,3,Low
EN-0047,Engineering,Rail,C18,3,Medium
EN-0048,Engineering,Ballast,C07,2,High
EN-0049,Engineering,Track,C15,1,Medium
EN-0050,Engineering,Rail,C08,1,High
EN-0051,Engineering,Sleeper,C11,2,Medium
EN-0052,Engineering,Sleeper,C13,5,Medium
EN-0053,Engineering,Track,C01,5,Medium
EN-0054,Engineering,Sleeper,C10,2,Critical
EN-0055,Engineering,Track,C18,3,High
EN-0056,Engineering,Track,C10,1,Medium
EN-0057,Engineering,Ballast,C12,3,Low
EN-0058,Engineering,Sleeper,C05,1,Low
EN-0059,Engineering,Ballast,C11,3,Medium
EN-0060,Engineering,Sleeper,C01,5,Low
EN-0061,Engineering,Ballast,C05,1,Critical
EN-0062,Engineering,Track,C12,5,Medium
EN-0063,Engineering,Sleeper,C19,3,Medium
EN-0064,Engineering,Sleeper,C09,1,Medium
EN-0065,Engineering,Track,C15,4,Medium
EN-0066,Engineering,Sleeper,C15,3,Medium
EN-0067,Engineering,Rail,C11,5,Medium
EN-0068,Engineering,Track,C20,2,High
EN-0069,Engineering,Track,C08,4,Low
EN-0070,Engineering,Sleeper,C10,4,High
EN-0071,Engineering,Ballast,C19,4,Low
EN-0072,Engineering,Ballast,C08,2,Medium
EN-0073,Engineering,Ballast,C10,1,Medium
EN-0074,Engineering,Sleeper,C06,5,High
EN-0075,Engineering,Track,C10,4,High
EN-0076,Engineering,Rail,C14,1,Medium
EN-0077,Engineering,Ballast,C16,1,High
EN-0078,Engineering,Track,C06,5,Medium
EN-0079,Engineering,Ballast,C07,1,Low
EN-0080,Engineering,Rail,C09,4,Critical
EN-0081,Engineering,Ballast,C08,4,Critical
EN-0082,Engineering,Rail,C10,1,Medium
EN-0083,Engineering,Track,C03,3,Critical
EN-0084,Engineering,Track,C06,3,High
EN-0085,Engineering,Sleeper,C11,2,Critical
EN-0086,Engineering,Sleeper,C06,4,High
EN-0087,Engineering,Sleeper,C07,4,Critical
EN-0088,Engineering,Rail,C03,2,Medium
EN-0089,Engineering,Rail,C07,4,High
EN-0090,Engineering,Ballast,C17,3,Medium
EN-0091,Engineering,Track,C03,4,High
EN-0092,Engineering,Ballast,C11,3,Critical
EN-0093,Engineering,Ballast,C02,5,Critical
EN-0094,Engineering,Ballast,C19,4,Medium
EN-0095,Engineering,Rail,C19,4,Medium
EN-0096,Engineering,Rail,C16,5,Low
EN-0097,Engineering,Track,C15,2,Medium
EN-0098,Engineering,Sleeper,C09,1,High
EN-0099,Engineering,Ballast,C02,1,Medium
EN-0100,Engineering,Track,C01,5,High
EN-0101,Engineering,Rail,C01,1,Medium
EN-0102,Engineering,Track,C20,1,Critical
EN-0103,Engineering,Ballast,C15,5,Medium
EN-0104,Engineering,Track,C06,1,High
EN-0105,Engineering,Ballast,C01,4,Low
EN-0106,Engineering,Ballast,C11,2,Medium
EN-0107,Engineering,Ballast,C15,1,High
EN-0108,Engineering,Rail,C09,5,High
EN-0109,Engineering,Sleeper,C07,5,High
EN-0110,Engineering,Sleeper,C20,2,Critical
EN-0111,Engineering,Rail,C09,3,Medium
EN-0112,Engineering,Rail,C05,1,Medium
EN-0113,Engineering,Rail,C08,3,High
EN-0114,Engineering,Rail,C08,4,Medium
