block_id,corridor_id,date,start_time,end_time,available,expected_train_count,traffic_level
B-000001,C01,2026-08-25,00:00,02:00,1,3,MEDIUM
B-000002,C01,2026-08-25,02:00,04:00,1,4,MEDIUM
B-000003,C01,2026-08-25,04:00,06:00,1,3,MEDIUM
B-000004,C01,2026-08-25,06:00,08:00,1,2,LOW
B-000005,C01,2026-08-25,08:00,10:00,0,8,HIGH
B-000006,C01,2026-08-25,10:00,12:00,0,6,HIGH
B-000007,C01,2026-08-25,12:00,14:00,1,2,LOW
B-000008,C01,2026-08-25,14:00,16:00,0,1,LOW
B-000009,C01,2026-08-25,16:00,18:00,1,3,MEDIUM
B-000010,C01,2026-08-25,18:00,20:00,0,7,HIGH
B-000011,C01,2026-08-25,20:00,22:00,0,7,HIGH
B-000012,C01,2026-08-25,22:00,00:00,0,0,LOW
B-000013,C02,2026-08-25,00:00,02:00,1,1,LOW
B-000014,C02,2026-08-25,02:00,04:00,1,2,LOW
B-000015,C02,2026-08-25,04:00,06:00,0,3,MEDIUM
B-000016,C02,2026-08-25,06:00,08:00,1,0,LOW
B-000017,C02,2026-08-25,08:00,10:00,0,6,HIGH
B-000018,C02,2026-08-25,10:00,12:00,0,5,MEDIUM
B-000019,C02,2026-08-25,12:00,14:00,1,3,MEDIUM
B-000020,C02,2026-08-25,14:00,16:00,1,1,LOW
B-000021,C02,2026-08-25,16:00,18:00,1,1,LOW
B-000022,C02,2026-08-25,18:00,20:00,0,5,MEDIUM
B-000023,C02,2026-08-25,20:00,22:00,0,5,MEDIUM
B-000024,C02,2026-08-25,22:00,00:00,1,4,MEDIUM
B-000025,C03,2026-08-25,00:00,02:00,0,5,MEDIUM
B-000026,C03,2026-08-25,02:00,04:00,1,2,LOW
B-000027,C03,2026-08-25,04:00,06:00,1,2,LOW
B-000028,C03,2026-08-25,06:00,08:00,1,2,LOW
B-000029,C03,2026-08-25,08:00,10:00,1,4,MEDIUM
B-000030,C03,2026-08-25,10:00,12:00,0,6,HIGH
B-000031,C03,2026-08-25,12:00,14:00,0,7,HIGH
B-000032,C03,2026-08-25,14:00,16:00,1,1,LOW
B-000033,C03,2026-08-25,16:00,18:00,1,2,LOW
B-000034,C03,2026-08-25,18:00,20:00,0,5,MEDIUM
B-000035,C03,2026-08-25,20:00,22:00,0,5,MEDIUM
B-000036,C03,2026-08-25,22:00,00:00,1,1,LOW
B-000037,C04,2026-08-25,00:00,02:00,1,4,MEDIUM
B-000038,C04,2026-08-25,02:00,04:00,1,0,LOW
B-000039,C04,2026-08-25,04:00,06:00,1,4,MEDIUM
B-000040,C04,2026-08-25,06:00,08:00,1,2,LOW
B-000041,C04,2026-08-25,08:00,10:00,1,3,MEDIUM
B-000042,C04,2026-08-25,10:00,12:00,0,8,HIGH
B-000043,C04,2026-08-25,12:00,14:00,1,1,LOW
B-000044,C04,2026-08-25,14:00,16:00,1,1,LOW
B-000045,C04,2026-08-25,16:00,18:00,1,1,LOW
B-000046,C04,2026-08-25,18:00,20:00,1,4,MEDIUM
B-000047,C04,2026-08-25,20:00,22:00,0,7,HIGH
B-000048,C04,2026-08-25,22:00,00:00,0,6,HIGH
B-000049,C05,2026-08-25,00:00,02:00,1,2,LOW
B-000050,C05,2026-08-25,02:00,04:00,1,1,LOW
B-000051,C05,2026-08-25,04:00,06:00,1,1,LOW
B-000052,C05,2026-08-25,06:00,08:00,1,3,MEDIUM
B-000053,C05,2026-08-25,08:00,10:00,0,9,HIGH
B-000054,C05,2026-08-25,10:00,12:00,1,4,MEDIUM
B-000055,C05,2026-08-25,12:00,14:00,1,2,LOW
B-000056,C05,2026-08-25,14:00,16:00,1,1,LOW
B-000057,C05,2026-08-25,16:00,18:00,0,2,LOW
B-000058,C05,2026-08-25,18:00,20:00,1,4,MEDIUM
B-000059,C05,2026-08-25,20:00,22:00,0,8,HIGH
B-000060,C05,2026-08-25,22:00,00:00,1,3,MEDIUM
B-000061,C06,2026-08-25,00:00,02:00,1,1,LOW
B-000062,C06,2026-08-25,02:00,04:00,1,2,LOW
B-000063,C06,2026-08-25,04:00,06:00,0,3,MEDIUM
B-000064,C06,2026-08-25,06:00,08:00,1,3,MEDIUM
B-000065,C06,2026-08-25,08:00,10:00,0,6,HIGH
B-000066,C06,2026-08-25,10:00,12:00,1,4,MEDIUM
B-000067,C06,2026-08-25,12:00,14:00,0,6,HIGH
B-000068,C06,2026-08-25,14:00,16:00,0,5,MEDIUM
B-000069,C06,2026-08-25,16:00,18:00,1,2,LOW
B-000070,C06,2026-08-25,18:00,20:00,0,4,MEDIUM
B-000071,C06,2026-08-25,20:00,22:00,1,4,MEDIUM
B-000072,C06,2026-08-25,22:00,00:00,1,3,MEDIUM
B-000073,C07,2026-08-25,00:00,02:00,0,5,MEDIUM
B-000074,C07,2026-08-25,02:00,04:00,1,1,LOW
B-000075,C07,2026-08-25,04:00,06:00,1,3,MEDIUM
B-000076,C07,2026-08-25,06:00,08:00,1,3,MEDIUM
B-000077,C07,2026-08-25,08:00,10:00,0,7,HIGH
B-000078,C07,2026-08-25,10:00,12:00,1,4,MEDIUM
B-000079,C07,2026-08-25,12:00,14:00,1,3,MEDIUM
B-000080,C07,2026-08-25,14:00,16:00,1,4,MEDIUM
B-000081,C07,2026-08-25,16:00,18:00,1,2,LOW
B-000082,C07,2026-08-25,18:00,20:00,0,5,MEDIUM
B-000083,C07,2026-08-25,20:00,22:00,0,6,HIGH
B-000084,C07,2026-08-25,22:00,00:00,1,3,MEDIUM
B-000085,C08,2026-08-25,00:00,02:00,1,1,LOW
B-000086,C08,2026-08-25,02:00,04:00,1,1,LOW
B-000087,C08,2026-08-25,04:00,06:00,1,1,LOW
B-000088,C08,2026-08-25,06:00,08:00,1,3,MEDIUM
B-000089,C08,2026-08-25,08:00,10:00,1,2,LOW
B-000090,C08,2026-08-25,10:00,12:00,0,6,HIGH
B-000091,C08,2026-08-25,12:00,14:00,1,1,LOW
B-000092,C08,2026-08-25,14:00,16:00,0,4,MEDIUM
B-000093,C08,2026-08-25,16:00,18:00,1,4,MEDIUM
B-000094,C08,2026-08-25,18:00,20:00,0,6,HIGH
B-000095,C08,2026-08-25,20:00,22:00,1,4,MEDIUM
B-000096,C08,2026-08-25,22:00,00:00,1,2,LOW
B-000097,C09,2026-08-25,00:00,02:00,1,0,LOW
B-000098,C09,2026-08-25,02:00,04:00,1,2,LOW
B-000099,C09,2026-08-25,04:00,06:00,1,4,MEDIUM
B-000100,C09,2026-08-25,06:00,08:00,1,2,LOW
B-000101,C09,2026-08-25,08:00,10:00,0,5,MEDIUM
B-000102,C09,2026-08-25,10:00,12:00,0,9,HIGH
B-000103,C09,2026-08-25,12:00,14:00,1,3,MEDIUM
B-000104,C09,2026-08-25,14:00,16:00,0,7,HIGH
B-000105,C09,2026-08-25,16:00,18:00,1,0,LOW
B-000106,C09,2026-08-25,18:00,20:00,0,7,HIGH
B-000107,C09,2026-08-25,20:00,22:00,1,3,MEDIUM
B-000108,C09,2026-08-25,22:00,00:00,1,1,LOW
B-000109,C10,2026-08-25,00:00,02:00,1,1,LOW
B-000110,C10,2026-08-25,02:00,04:00,0,5,MEDIUM
B-000111,C10,2026-08-25,04:00,06:00,1,1,LOW
B-000112,C10,2026-08-25,06:00,08:00,0,4,MEDIUM
B-000113,C10,2026-08-25,08:00,10:00,0,8,HIGH
B-000114,C10,2026-08-25,10:00,12:00,0,9,HIGH
B-000115,C10,2026-08-25,12:00,14:00,1,2,LOW
B-000116,C10,2026-08-25,14:00,16:00,1,2,LOW
B-000117,C10,2026-08-25,16:00,18:00,1,0,LOW
B-000118,C10,2026-08-25,18:00,20:00,0,5,MEDIUM
B-000119,C10,2026-08-25,20:00,22:00,0,8,HIGH
B-000120,C10,2026-08-25,22:00,00:00,0,0,LOW
B-000121,C11,2026-08-25,00:00,02:00,1,3,MEDIUM
B-000122,C11,2026-08-25,02:00,04:00,0,2,LOW
B-000123,C11,2026-08-25,04:00,06:00,1,4,MEDIUM
B-000124,C11,2026-08-25,06:00,08:00,1,3,MEDIUM
B-000125,C11,2026-08-25,08:00,10:00,0,5,MEDIUM
B-000126,C11,2026-08-25,10:00,12:00,0,5,MEDIUM
B-000127,C11,2026-08-25,12:00,14:00,1,3,MEDIUM
B-000128,C11,2026-08-25,14:00,16:00,1,2,LOW
B-000129,C11,2026-08-25,16:00,18:00,1,4,MEDIUM
