request_id,task_id,department,corridor_id,requested_date,requested_start,requested_end,duration_hours,status
REQ-00001,M-001936,S&T,C17,2026-09-01,10:00,11:00,1.0,Pending
REQ-00002,M-006495,Engineering,C08,2026-08-27,00:00,04:00,4.0,Pending
REQ-00003,M-001721,S&T,C02,2026-09-06,04:00,06:00,1.5,Pending
REQ-00004,M-009121,S&T,C13,2026-09-07,06:00,07:00,1.0,Pending
REQ-00005,M-000361,Traction,C06,2026-09-05,09:00,11:00,2.0,Pending
REQ-00006,M-009664,Engineering,C15,2026-08-26,08:00,09:00,0.5,Pending
REQ-00007,M-005278,Traction,C19,2026-08-29,19:00,20:00,0.5,Pending
REQ-00008,M-008547,Engineering,C09,2026-09-01,07:00,10:00,3.0,Pending
REQ-00009,M-002222,Traction,C18,2026-09-07,01:00,04:00,3.0,Pending
REQ-00010,M-004618,Traction,C11,2026-08-26,07:00,08:00,0.5,Pending
REQ-00011,M-003466,Engineering,C15,2026-08-30,03:00,05:00,1.5,Pending
REQ-00012,M-001409,Traction,C04,2026-09-03,20:00,21:00,1.0,Pending
REQ-00013,M-000469,Traction,C06,2026-08-28,13:00,14:00,0.5,Pending
REQ-00014,M-001176,Engineering,C14,2026-09-07,00:00,01:00,0.5,Pending
REQ-00015,M-005225,Traction,C18,2026-09-04,00:00,03:00,3.0,Pending
REQ-00016,M-008129,Traction,C14,2026-09-02,19:00,21:00,2.0,Pending
REQ-00017,M-000425,S&T,C18,2026-08-28,20:00,00:00,4.0,Pending
REQ-00018,M-007048,S&T,C07,2026-08-28,12:00,13:00,0.5,Pending
REQ-00019,M-002484,S&T,C09,2026-09-03,08:00,10:00,2.0,Pending
REQ-00020,M-001826,S&T,C10,2026-09-07,21:00,01:00,4.0,Pending
REQ-00021,M-010558,Traction,C02,2026-09-04,06:00,07:00,1.0,Pending
REQ-00022,M-001484,Engineering,C13,2026-08-26,12:00,13:00,1.0,Pending
REQ-00023,M-009291,Engineering,C16,2026-08-26,01:00,04:00,3.0,Pending
REQ-00024,M-009710,Engineering,C20,2026-08-30,20:00,21:00,0.5,Pending
REQ-00025,M-001651,Engineering,C02,2026-08-25,22:00,00:00,1.5,Pending
REQ-00026,M-009787,Traction,C11,2026-08-27,13:00,17:00,4.0,Pending
REQ-00027,M-002814,S&T,C10,2026-08-26,19:00,21:00,1.5,Pending
REQ-00028,M-003705,S&T,C07,2026-09-06,09:00,10:00,0.5,Pending
REQ-00029,M-006119,S&T,C01,2026-08-27,15:00,19:00,4.0,Pending
REQ-00030,M-005043,Engineering,C08,2026-08-31,06:00,09:00,3.0,Pending
REQ-00031,M-011209,Engineering,C12,2026-09-06,09:00,10:00,1.0,Pending
REQ-00032,M-007239,Engineering,C09,2026-09-02,04:00,05:00,1.0,Pending
REQ-00033,M-011506,S&T,C04,2026-08-26,13:00,15:00,2.0,Pending
REQ-00034,M-011075,S&T,C13,2026-09-07,03:00,05:00,2.0,Pending
REQ-00035,M-010997,Engineering,C10,2026-08-25,22:00,00:00,2.0,Pending
REQ-00036,M-005000,S&T,C14,2026-09-03,00:00,03:00,3.0,Pending
REQ-00037,M-008481,Engineering,C12,2026-09-07,02:00,06:00,4.0,Pending
REQ-00038,M-009268,Engineering,C12,2026-09-01,06:00,08:00,1.5,Pending
REQ-00039,M-008399,Engineering,C05,2026-08-29,03:00,05:00,1.5,Pending
REQ-00040,M-002632,Engineering,C03,2026-09-02,22:00,02:00,4.0,Pending
REQ-00041,M-003132,Traction,C14,2026-09-06,10:00,12:00,1.5,Pending
REQ-00042,M-009584,S&T,C10,2026-08-31,15:00,16:00,1.0,Pending
REQ-00043,M-008219,S&T,C19,2026-09-04,22:00,23:00,0.5,Pending
REQ-00044,M-009277,Engineering,C19,2026-08-28,21:00,22:00,0.5,Pending
REQ-00045,M-003814,S&T,C10,2026-08-26,01:00,02:00,1.0,Pending
REQ-00046,M-005887,Traction,C13,2026-09-03,11:00,14:00,3.0,Pending
REQ-00047,M-005083,Engineering,C08,2026-09-06,00:00,03:00,3.0,Pending
REQ-00048,M-011816,Traction,C10,2026-08-25,06:00,07:00,1.0,Pending
REQ-00049,M-008824,S&T,C15,2026-08-25,14:00,18:00,4.0,Pending
REQ-00050,M-001218,S&T,C17,2026-08-28,02:00,03:00,0.5,Pending
REQ-00051,M-003992,Engineering,C20,2026-09-02,17:00,20:00,3.0,Pending
REQ-00052,M-011148,Traction,C17,2026-09-01,17:00,18:00,1.0,Pending
REQ-00053,M-007616,Engineering,C13,2026-08-26,05:00,06:00,0.5,Pending
REQ-00054,M-010692,S&T,C08,2026-09-05,06:00,08:00,2.0,Pending
REQ-00055,M-010185,Engineering,C06,2026-09-07,19:00,21:00,2.0,Pending
REQ-00056,M-001684,Engineering,C06,2026-08-30,14:00,17:00,3.0,Pending
REQ-00057,M-004575,S&T,C18,2026-09-02,11:00,13:00,2.0,Pending
REQ-00058,M-011541,Engineering,C09,2026-08-31,05:00,07:00,2.0,Pending
REQ-00059,M-010751,Traction,C07,2026-08-27,00:00,02:00,1.5,Pending
REQ-00060,M-011284,Traction,C17,2026-08-29,20:00,00:00,4.0,Pending
REQ-00061,M-007563,S&T,C04,2026-08-30,22:00,00:00,1.5,Pending
REQ-00062,M-005904,S&T,C13,2026-09-07,02:00,05:00,3.0,Pending
REQ-00063,M-002583,S&T,C18,2026-09-05,21:00,01:00,4.0,Pending
REQ-00064,M-003003,Engineering,C04,2026-08-26,10:00,12:00,2.0,Pending
REQ-00065,M-010044,Engineering,C09,2026-09-03,16:00,20:00,4.0,Pending
REQ-00066,M-002088,S&T,C02,2026-09-02,16:00,18:00,1.5,Pending
REQ-00067,M-008929,Traction,C19,2026-08-30,11:00,13:00,1.5,Pending
REQ-00068,M-004149,Engineering,C10,2026-08-29,01:00,04:00,3.0,Pending
REQ-00069,M-000136,Traction,C15,2026-09-06,10:00,14:00,4.0,Pending
REQ-00070,M-009918,S&T,C05,2026-09-01,01:00,02:00,0.5,Pending
REQ-00071,M-001744,S&T,C20,2026-09-06,12:00,15:00,3.0,Pending
REQ-00072,M-007342,S&T,C15,2026-08-29,12:00,15:00,3.0,Pending
REQ-00073,M-010875,S&T,C05,2026-09-05,10:00,14:00,4.0,Pending
REQ-00074,M-003708,S&T,C14,2026-09-02,09:00,11:00,2.0,Pending
REQ-00075,M-005471,S&T,C08,2026-09-01,06:00,07:00,1.0,Pending
REQ-00076,M-000701,Traction,C18,2026-09-05,14:00,16:00,1.5,Pending
REQ-00077,M-008558,S&T,C08,2026-08-27,14:00,16:00,2.0,Pending
REQ-00078,M-011716,Traction,C15,2026-09-02,18:00,19:00,0.5,Pending
REQ-00079,M-001609,Engineering,C04,2026-08-26,20:00,00:00,4.0,Pending
REQ-00080,M-005864,Engineering,C01,2026-08-25,17:00,18:00,0.5,Pending
REQ-00081,M-000430,S&T,C01,2026-09-05,22:00,23:00,0.5,Pending
REQ-00082,M-004024,Traction,C09,2026-08-25,18:00,20:00,2.0,Pending
REQ-00083,M-006689,Engineering,C19,2026-08-28,22:00,00:00,1.5,Pending
REQ-00084,M-004101,Traction,C04,2026-09-04,19:00,22:00,3.0,Pending
REQ-00085,M-008876,Engineering,C15,2026-09-03,02:00,04:00,2.0,Pending
REQ-00086,M-008515,Engineering,C18,2026-09-04,02:00,05:00,3.0,Pending
REQ-00087,M-009650,S&T,C17,2026-09-05,01:00,03:00,1.5,Pending
