corridor_id,from_station_id,to_station_id,length_km,track_type
C01,ST01,ST02,100.8,Double
C02,ST02,ST03,108.0,Double
C03,ST03,ST04,94.3,Double
C04,ST04,ST05,117.9,Double
C05,ST05,ST06,99.7,Single
C06,ST06,ST07,45.9,Single
C07,ST07,ST08,73.3,Double
C08,ST02,ST09,113.8,Double
C09,ST09,ST10,89.7,Double
C10,ST10,ST11,72.7,Single
C11,ST11,ST12,54.3,Double
C12,ST03,ST13,40.4,Double
C13,ST13,ST14,105.3,Double
C14,ST14,ST15,99.4,Double
C15,ST15,ST05,65.1,Double
C16,ST13,ST16,110.9,Single
C17,ST01,ST17,101.2,Single
C18,ST17,ST18,74.7,Double
C19,ST18,ST19,38.7,Double
C20,ST19,ST20,93.1,Double
