corridor_id,date,start_time,end_time,expected_goods_trains,forecast_confidence
C01,2026-08-25,00:00,02:00,3,0.84
C01,2026-08-25,02:00,04:00,0,0.78
C01,2026-08-25,04:00,06:00,1,0.76
C01,2026-08-25,06:00,08:00,3,0.85
C01,2026-08-25,08:00,10:00,0,0.83
C01,2026-08-25,10:00,12:00,3,0.77
C01,2026-08-25,12:00,14:00,1,0.89
C01,2026-08-25,14:00,16:00,1,0.83
C01,2026-08-25,16:00,18:00,3,0.77
C01,2026-08-25,18:00,20:00,2,0.79
C01,2026-08-25,20:00,22:00,4,0.86
C01,2026-08-25,22:00,00:00,3,0.87
C02,2026-08-25,00:00,02:00,1,0.95
C02,2026-08-25,02:00,04:00,1,0.9
C02,2026-08-25,04:00,06:00,0,0.78
C02,2026-08-25,06:00,08:00,7,0.78
C02,2026-08-25,08:00,10:00,7,0.9
C02,2026-08-25,10:00,12:00,1,0.78
C02,2026-08-25,12:00,14:00,3,0.8
C02,2026-08-25,14:00,16:00,0,0.78
C02,2026-08-25,16:00,18:00,1,0.88
C02,2026-08-25,18:00,20:00,3,0.91
C02,2026-08-25,20:00,22:00,2,0.84
C02,2026-08-25,22:00,00:00,2,0.74
C03,2026-08-25,00:00,02:00,3,0.96
C03,2026-08-25,02:00,04:00,3,0.8
C03,2026-08-25,04:00,06:00,1,0.86
C03,2026-08-25,06:00,08:00,5,0.86
C03,2026-08-25,08:00,10:00,4,0.78
C03,2026-08-25,10:00,12:00,1,0.78
C03,2026-08-25,12:00,14:00,5,0.78
C03,2026-08-25,14:00,16:00,1,0.9
C03,2026-08-25,16:00,18:00,0,0.86
C03,2026-08-25,18:00,20:00,4,0.78
C03,2026-08-25,20:00,22:00,4,0.89
C03,2026-08-25,22:00,00:00,2,0.77
C04,2026-08-25,00:00,02:00,1,0.96
C04,2026-08-25,02:00,04:00,3,0.75
C04,2026-08-25,04:00,06:00,1,0.91
C04,2026-08-25,06:00,08:00,7,0.72
C04,2026-08-25,08:00,10:00,3,0.74
C04,2026-08-25,10:00,12:00,1,0.73
C04,2026-08-25,12:00,14:00,1,0.97
C04,2026-08-25,14:00,16:00,0,0.95
C04,2026-08-25,16:00,18:00,4,0.82
C04,2026-08-25,18:00,20:00,4,0.88
C04,2026-08-25,20:00,22:00,4,0.91
C04,2026-08-25,22:00,00:00,2,0.87
C05,2026-08-25,00:00,02:00,4,0.76
C05,2026-08-25,02:00,04:00,2,0.91
C05,2026-08-25,04:00,06:00,1,0.89
C05,2026-08-25,06:00,08:00,6,0.88
C05,2026-08-25,08:00,10:00,4,0.91
C05,2026-08-25,10:00,12:00,1,0.78
C05,2026-08-25,12:00,14:00,5,0.96
C05,2026-08-25,14:00,16:00,3,0.87
C05,2026-08-25,16:00,18:00,2,0.94
C05,2026-08-25,18:00,20:00,1,0.82
C05,2026-08-25,20:00,22:00,4,0.89
C05,2026-08-25,22:00,00:00,2,0.79
C06,2026-08-25,00:00,02:00,2,0.77
C06,2026-08-25,02:00,04:00,1,0.93
C06,2026-08-25,04:00,06:00,2,0.78
C06,2026-08-25,06:00,08:00,11,0.8
C06,2026-08-25,08:00,10:00,7,0.88
C06,2026-08-25,10:00,12:00,1,0.84
C06,2026-08-25,12:00,14:00,4,0.92
C06,2026-08-25,14:00,16:00,0,0.85
C06,2026-08-25,16:00,18:00,2,0.94
C06,2026-08-25,18:00,20:00,3,0.74
C06,2026-08-25,20:00,22:00,5,0.87
C06,2026-08-25,22:00,00:00,0,0.76
C07,2026-08-25,00:00,02:00,2,0.8
C07,2026-08-25,02:00,04:00,2,0.88
C07,2026-08-25,04:00,06:00,2,0.75
C07,2026-08-25,06:00,08:00,4,0.92
C07,2026-08-25,08:00,10:00,2,0.95
C07,2026-08-25,10:00,12:00,4,0.86
C07,2026-08-25,12:00,14:00,0,0.82
C07,2026-08-25,14:00,16:00,3,0.86
C07,2026-08-25,16:00,18:00,1,0.78
C07,2026-08-25,18:00,20:00,5,0.89
C07,2026-08-25,20:00,22:00,4,0.8
C07,2026-08-25,22:00,00:00,0,0.88
C08,2026-08-25,00:00,02:00,1,0.87
C08,2026-08-25,02:00,04:00,4,0.86
C08,2026-08-25,04:00,06:00,5,0.84
C08,2026-08-25,06:00,08:00,8,0.8
