corridor_id,section_name,subsection_id,work_area_id,from_station,to_station,line_type,electrification,direction
C01,Section C01,C01-S01,C01-WA01,ST01,ST02,Single Line,25kV AC,BOTH
C01,Section C01,C01-S02,C01-WA02,ST01,ST02,Double Line,25kV AC,UP
C01,Section C01,C01-S03,C01-WA03,ST01,ST02,Double Line,25kV AC,UP
C01,Section C01,C01-S04,C01-WA04,ST01,ST02,Double Line,25kV AC,UP
C02,Section C02,C02-S01,C02-WA01,ST02,ST03,Double Line,25kV AC,DOWN
C02,Section C02,C02-S02,C02-WA02,ST02,ST03,Double Line,25kV AC,UP
C02,Section C02,C02-S03,C02-WA03,ST02,ST03,Double Line,25kV AC,BOTH
C02,Section C02,C02-S04,C02-WA04,ST02,ST03,Double Line,25kV AC,UP
C03,Section C03,C03-S01,C03-WA01,ST03,ST04,Double Line,25kV AC,UP
C03,Section C03,C03-S02,C03-WA02,ST03,ST04,Double Line,25kV AC,UP
C03,Section C03,C03-S03,C03-WA03,ST03,ST04,Single Line,25kV AC,DOWN
C03,Section C03,C03-S04,C03-WA04,ST03,ST04,Double Line,25kV AC,UP
C04,Section C04,C04-S01,C04-WA01,ST04,ST05,Single Line,25kV AC,DOWN
C04,Section C04,C04-S02,C04-WA02,ST04,ST05,Double Line,25kV AC,BOTH
C04,Section C04,C04-S03,C04-WA03,ST04,ST05,Double Line,25kV AC,BOTH
C04,Section C04,C04-S04,C04-WA04,ST04,ST05,Double Line,25kV AC,BOTH
