movement_id,day,corridor_id,subsection_id,from_station,to_station,train_no,train_type,entry_time,exit_time,minimum_maintenance_buffer_minutes,line_id,movement_status,direction,movement_source
TM-00001,Monday,C01,C01-S01,ST01,ST02,12001,Passenger,05:24,05:32,15,LINE-01,SCHEDULED,UP,SYNTHETIC_CONTROL_CHART
TM-00002,Monday,C01,C01-S01,ST01,ST02,12002,MEMU,06:24,06:29,15,LINE-01,SCHEDULED,UP,SYNTHETIC_CONTROL_CHART
TM-00003,Monday,C01,C01-S01,ST01,ST02,12005,Passenger,07:37,07:41,15,LINE-01,SCHEDULED,UP,SYNTHETIC_CONTROL_CHART
TM-00004,Monday,C01,C01-S01,ST01,ST02,12008,Passenger,08:24,08:28,15,LINE-01,SCHEDULED,DOWN,SYNTHETIC_CONTROL_CHART
TM-00005,Monday,C01,C01-S01,ST01,ST02,12009,Freight,09:18,09:22,15,LINE-01,SCHEDULED,DOWN,SYNTHETIC_CONTROL_CHART
TM-00006,Monday,C01,C01-S01,ST01,ST02,12010,Freight,10:49,10:52,15,LINE-01,SCHEDULED,UP,SYNTHETIC_CONTROL_CHART
TM-00007,Monday,C01,C01-S01,ST01,ST02,12011,Express,11:31,11:34,15,LINE-01,SCHEDULED,DOWN,SYNTHETIC_CONTROL_CHART
TM-00008,Monday,C01,C01-S01,ST01,ST02,12012,Freight,13:31,13:39,15,LINE-01,SCHEDULED,DOWN,SYNTHETIC_CONTROL_CHART
TM-00009,Monday,C01,C01-S01,ST01,ST02,12013,Freight,14:03,14:06,15,LINE-01,SCHEDULED,DOWN,SYNTHETIC_CONTROL_CHART
TM-00010,Monday,C01,C01-S01,ST01,ST02,12014,Express,15:37,15:40,15,LINE-01,SCHEDULED,UP,SYNTHETIC_CONTROL_CHART
TM-00011,Monday,C01,C01-S01,ST01,ST02,12016,Passenger,16:43,16:48,15,LINE-01,SCHEDULED,DOWN,SYNTHETIC_CONTROL_CHART
TM-00012,Monday,C01,C01-S01,ST01,ST02,12019,Express,17:31,17:34,15,LINE-01,SCHEDULED,DOWN,SYNTHETIC_CONTROL_CHART
TM-00013,Monday,C01,C01-S01,ST01,ST02,12020,Special,18:07,18:10,15,LINE-01,SCHEDULED,DOWN,SYNTHETIC_CONTROL_CHART
TM-00014,Monday,C01,C01-S01,ST01,ST02,12022,Freight,19:37,19:45,15,LINE-01,SCHEDULED,DOWN,SYNTHETIC_CONTROL_CHART
TM-00015,Monday,C01,C01-S01,ST01,ST02,12023,Express,21:37,21:43,15,LINE-01,SCHEDULED,UP,SYNTHETIC_CONTROL_CHART
TM-00016,Monday,C01,C01-S01,ST01,ST02,12025,Passenger,22:31,22:36,15,LINE-01,SCHEDULED,DOWN,SYNTHETIC_CONTROL_CHART
TM-00017,Monday,C01,C01-S02,ST01,ST02,12027,Passenger,05:31,05:35,15,LINE-01,SCHEDULED,DOWN,SYNTHETIC_CONTROL_CHART
TM-00018,Monday,C01,C01-S02,ST01,ST02,12030,Passenger,06:37,06:40,15,LINE-01,SCHEDULED,UP,SYNTHETIC_CONTROL_CHART
