block_id,day,corridor_id,subsection_id,work_area_id,from_station,to_station,start_time,end_time,available,block_type,availability_source,derived_safe_window,safety_buffer_minutes
B-00001,Monday,C01,C01-S01,C01-WA01,ST01,ST02,00:30,03:15,1,ROUTINE_BLOCK,PLANNED_BLOCK_WINDOW,False,15
B-00002,Monday,C01,C01-S01,C01-WA01,ST01,ST02,01:00,04:00,1,ROUTINE_BLOCK,PLANNED_BLOCK_WINDOW,False,15
B-00003,Monday,C01,C01-S01,C01-WA01,ST01,ST02,02:00,04:45,1,ROUTINE_BLOCK,PLANNED_BLOCK_WINDOW,False,15
B-00004,Monday,C01,C01-S01,C01-WA01,ST01,ST02,10:30,13:15,1,ROUTINE_BLOCK,PLANNED_BLOCK_WINDOW,False,15
B-00005,Monday,C01,C01-S01,C01-WA01,ST01,ST02,13:30,16:30,1,ROUTINE_BLOCK,PLANNED_BLOCK_WINDOW,False,15
B-00006,Monday,C01,C01-S01,C01-WA01,ST01,ST02,23:00,01:45,1,ROUTINE_BLOCK,PLANNED_BLOCK_WINDOW,False,15
B-00007,Monday,C01,C01-S02,C01-WA02,ST01,ST02,00:30,03:15,1,ROUTINE_BLOCK,PLANNED_BLOCK_WINDOW,False,15
B-00008,Monday,C01,C01-S02,C01-WA02,ST01,ST02,01:00,04:00,1,ROUTINE_BLOCK,PLANNED_BLOCK_WINDOW,False,15
B-00009,Monday,C01,C01-S02,C01-WA02,ST01,ST02,02:00,04:45,0,ROUTINE_BLOCK,PLANNED_BLOCK_WINDOW,False,15
B-00010,Monday,C01,C01-S02,C01-WA02,ST01,ST02,10:30,13:15,1,ROUTINE_BLOCK,PLANNED_BLOCK_WINDOW,False,15
B-00011,Monday,C01,C01-S02,C01-WA02,ST01,ST02,13:30,16:30,1,ROUTINE_BLOCK,PLANNED_BLOCK_WINDOW,False,15
B-00012,Monday,C01,C01-S02,C01-WA02,ST01,ST02,23:00,01:45,0,ROUTINE_BLOCK,PLANNED_BLOCK_WINDOW,False,15
B-00013,Monday,C01,C01-S03,C01-WA03,ST01,ST02,00:30,03:15,1,ROUTINE_BLOCK,PLANNED_BLOCK_WINDOW,False,15
B-00014,Monday,C01,C01-S03,C01-WA03,ST01,ST02,01:00,04:00,1,ROUTINE_BLOCK,PLANNED_BLOCK_WINDOW,False,15
B-00015,Monday,C01,C01-S03,C01-WA03,ST01,ST02,02:00,04:45,1,ROUTINE_BLOCK,PLANNED_BLOCK_WINDOW,False,15
B-00016,Monday,C01,C01-S03,C01-WA03,ST01,ST02,10:30,13:15,1,ROUTINE_BLOCK,PLANNED_BLOCK_WINDOW,False,15
B-00017,Monday,C01,C01-S03,C01-WA03,ST01,ST02,13:30,16:30,0,ROUTINE_BLOCK,PLANNED_BLOCK_WINDOW,False,15
B-00018,Monday,C01,C01-S03,C01-WA03,ST01,ST02,23:00,01:45,1,ROUTINE_BLOCK,PLANNED_BLOCK_WINDOW,False,15
B-00019,Monday,C01,C01-S04,C01-WA04,ST01,ST02,00:30,03:15,1,ROUTINE_BLOCK,PLANNED_BLOCK_WINDOW,False,15
