station_id,station_name,station_code,zone
ST01,Chennai Central,MAS,Southern
ST02,Arakkonam,AJJ,Southern
ST03,Katpadi,KPD,Southern
ST04,Jolarpettai,JTJ,Southern
ST05,Salem,SA,Southern
ST06,Erode,ED,Southern
ST07,Coimbatore,CBE,Southern
ST08,Tiruppur,TUP,Southern
ST09,Villupuram,VM,Southern
ST10,Tiruchchirappalli,TPJ,Southern
ST11,Madurai,MDU,Southern
ST12,Dindigul,DG,Southern
ST13,Bengaluru,SBC,South Western
ST14,Hosur,HSRA,South Western
ST15,Dharmapuri,DPJ,South Western
ST16,Krishnarajapuram,KJM,South Western
ST17,Gudur,GDR,South Central
ST18,Nellore,NLR,South Central
ST19,Renigunta,RU,South Central
ST20,Tirupati,TPTY,South Central
