train_no,train_name,train_type,sequence,station_id,arrival,departure
12000,SIM-12000,MEMU,1,ST01,19:22,19:26
12000,SIM-12000,MEMU,2,ST02,19:53,20:00
12000,SIM-12000,MEMU,3,ST03,20:26,20:28
12000,SIM-12000,MEMU,4,ST04,21:04,21:10
12000,SIM-12000,MEMU,5,ST05,21:14,21:18
12000,SIM-12000,MEMU,6,ST06,21:37,21:43
12000,SIM-12000,MEMU,7,ST07,22:46,22:49
12001,SIM-12001,Passenger,1,ST01,04:45,04:49
12001,SIM-12001,Passenger,2,ST02,05:13,05:19
12001,SIM-12001,Passenger,3,ST09,05:59,06:05
12001,SIM-12001,Passenger,4,ST10,06:03,06:06
12001,SIM-12001,Passenger,5,ST11,07:25,07:31
12001,SIM-12001,Passenger,6,ST12,07:30,07:36
12002,SIM-12002,Superfast,1,ST13,17:40,17:43
12002,SIM-12002,Superfast,2,ST14,18:18,18:23
12002,SIM-12002,Superfast,3,ST15,18:34,18:40
12002,SIM-12002,Superfast,4,ST05,19:04,19:10
12002,SIM-12002,Superfast,5,ST06,19:20,19:26
12002,SIM-12002,Superfast,6,ST07,21:00,21:06
12003,SIM-12003,Intercity,1,ST01,13:57,14:03
12003,SIM-12003,Intercity,2,ST17,14:33,14:37
12003,SIM-12003,Intercity,3,ST18,15:07,15:12
12003,SIM-12003,Intercity,4,ST19,15:12,15:14
12003,SIM-12003,Intercity,5,ST20,15:53,15:55
12004,SIM-12004,Superfast,1,ST13,09:13,09:20
12004,SIM-12004,Superfast,2,ST16,09:49,09:51
12004,SIM-12004,Superfast,3,ST03,10:33,10:38
12004,SIM-12004,Superfast,4,ST04,11:04,11:09
12005,SIM-12005,Passenger,1,ST01,11:37,11:40
12005,SIM-12005,Passenger,2,ST02,12:14,12:16
12005,SIM-12005,Passenger,3,ST03,12:39,12:43
12005,SIM-12005,Passenger,4,ST04,13:49,13:52
12005,SIM-12005,Passenger,5,ST05,13:37,13:41
12005,SIM-12005,Passenger,6,ST06,15:17,15:24
12005,SIM-12005,Passenger,7,ST07,14:07,14:10
12006,SIM-12006,Superfast,1,ST01,17:15,17:22
12006,SIM-12006,Superfast,2,ST02,17:45,17:49
12006,SIM-12006,Superfast,3,ST09,18:31,18:33
12006,SIM-12006,Superfast,4,ST10,19:03,19:08
12006,SIM-12006,Superfast,5,ST11,19:55,20:02
12006,SIM-12006,Superfast,6,ST12,20:25,20:29
12007,SIM-12007,Intercity,1,ST13,08:32,08:35
12007,SIM-12007,Intercity,2,ST14,09:03,09:05
12007,SIM-12007,Intercity,3,ST15,09:26,09:28
12007,SIM-12007,Intercity,4,ST05,10:32,10:38
12007,SIM-12007,Intercity,5,ST06,11:04,11:08
12007,SIM-12007,Intercity,6,ST07,11:47,11:49
12008,SIM-12008,Express,1,ST01,18:54,18:58
12008,SIM-12008,Express,2,ST17,19:32,19:36
12008,SIM-12008,Express,3,ST18,20:00,20:02
12008,SIM-12008,Express,4,ST19,20:30,20:33
12008,SIM-12008,Express,5,ST20,20:58,21:04
12009,SIM-12009,Superfast,1,ST13,13:14,13:16
12009,SIM-12009,Superfast,2,ST16,13:45,13:47
12009,SIM-12009,Superfast,3,ST03,14:16,14:23
12009,SIM-12009,Superfast,4,ST04,14:50,14:57
12010,SIM-12010,Superfast,1,ST01,10:23,10:29
12010,SIM-12010,Superfast,2,ST02,11:07,11:10
12010,SIM-12010,Superfast,3,ST03,11:43,11:46
12010,SIM-12010,Superfast,4,ST04,12:20,12:26
12010,SIM-12010,Superfast,5,ST05,12:35,12:41
12010,SIM-12010,Superfast,6,ST06,12:53,12:55
